Tabel 1;;;;;
Gemiddeld persoonlijk inkomen per inwoner particulier huishouden, het percentage particuliere huishoudens behorende tot de 40% huishoudens met het laagste besteedbaar;;;;;
inkomen van de landelijke inkomensverdeling en het percentage particuliere huishoudens behorende tot de 20% huishoudens met het hoogste besteedbaar inkomen van de ;;;;;
landelijke inkomensverdeling naar gemeente en wijk, 2020;;;;;
;;;Gemiddeld;40% huishoudens;20% huishoudens
;;;persoonlijk ;met laagste;met hoogste
;;;inkomen;besteedbaar;besteedbaar
;;;per inwoner;inkomen;inkomen
Gemeentelijke indeling van 2023;;;;;
Gemeentecode;Wijkcode;Regionaam;;;
;;;;;
;;;x 1000 euro;%;
;;;;;
;WK034208;Wijk 08 Soesterberg;29,7;32,3;24,8
GM0344;Totaal;Utrecht;30,6;46,2;21,4
;WK034401;Wijk 01 West;32,5;45,8;22,8
;WK034402;Wijk 02 Noordwest;28,2;50,1;15,5
;WK034403;Wijk 03 Overvecht;20,3;61,1;8,0
;WK034404;Wijk 04 Noordoost;35,7;44,3;26,3
;WK034405;Wijk 05 Oost;34,4;58,8;18,1
;WK034406;Wijk 06 Binnenstad;38,7;52,5;15,9
;WK034407;Wijk 07 Zuid;28,2;50,1;17,8
;WK034408;Wijk 08 Zuidwest;27,1;51,4;15,0
;WK034409;Wijk 09 Leidsche Rijn;32,1;24,8;34,9
;WK034410;Wijk 10 Vleuten-De Meern;31,9;22,7;39,2
GM0345;Totaal;Veenendaal;25,9;35,7;19,7
;WK034500;Centrum;26,1;54,0;7,4
;WK034501;Noordoost;25,7;29,2;23,8
;WK034502;Zuidoost;26,6;38,4;21,2
;WK034503;Zuidwest;24,4;43,9;16,6
;WK034504;Noordwest;24,1;39,3;16,0
;WK034505;West;27,2;23,4;24,8
GM0351;Totaal;Woudenberg;27,4;26,9;27,1
;WK035100;Wijk 00 Woudenberg;27,4;26,9;27,1
GM0352;Totaal;Wijk bij Duurstede;29,7;27,4;26,5
;WK035200;Wijk 00 Wijk bij Duurstede;29,8;27,6;24,9
;WK035201;Wijk 01 Landelijk gebied;33,9;17,3;46,7
;WK035202;Wijk 02 Cothen;28,5;27,6;29,7
;WK035203;Wijk 03 Langbroek;29,9;28,2;30,3
GM0353;Totaal;IJsselstein;29,7;30,5;27,4
;WK035300;Wijk 00 IJsselstein;29,7;30,5;27,4
GM0355;Totaal;Zeist;33,2;39,9;26,0
;WK035501;Zeist Centrum;38,7;36,7;27,9
;WK035502;Zeist-Noord;26,7;51,9;18,5
;WK035503;Zeist-West;27,9;37,3;23,7
;WK035504;Zeist-Oost;36,3;37,4;29,4
;WK035505;Den Dolder e.o.;41,2;28,0;38,2
GM0356;Totaal;Nieuwegein;27,9;35,7;18,8
;WK035601;Jutphaas Wijkersloot;25,1;47,0;11,5
;WK035602;Zuilenstein;26,8;32,5;17,6
;WK035603;Batau Zuid;26,8;29,4;22,2
;WK035604;Batau Noord;28,7;31,5;19,4
;WK035605;Doorslag;28,5;32,1;20,6
;WK035606;Huis de Geer;31,3;22,3;30,2
;WK035607;Blokhoeve;35,7;24,3;34,7
;WK035608;Galecop;30,2;31,5;26,0
;WK035610;Fokkesteeg;26,8;34,5;18,1
;WK035611;Hoogzandveld;25,5;25,5;21,5
;WK035612;Lekboulevard;29,2;46,5;13,9
;WK035613;Vreeswijk;28,1;38,4;21,6
;WK035614;Merwestein;26,7;53,0;4,7
;WK035615;Park Oudegein;.;.;.
;WK035616;Zandveld;24,5;33,0;16,4
;WK035618;Het Klooster;.;.;.
;WK035620;Laagraven;19,5;.;.
;WK035621;Plettenburg;36,1;.;.
;WK035622;De Wiers;.;.;.
;WK035623;Hoge Landen;.;.;.
;WK035624;Stadscentrum;29,8;52,0;6,4
;WK035625;Rijnhuizen;33,9;54,6;10,4
GM0358;Totaal;Aalsmeer;31,3;29,4;30,9
;WK035800;Wijk 00 Aalsmeer;31,1;34,1;25,8
;WK035801;Wijk 01 Kudelstraat en Kalslagen;30,2;27,1;29,0
;WK035802;Wijk 02 Oosteinde;32,5;24,5;40,7
GM0361;Totaal;Alkmaar;27,8;39,9;18,2
;WK036101;Zuid;30,0;42,2;21,3
;WK036102;Oudorp;27,9;36,3;22,1
;WK036103;Overdie;21,9;53,3;7,6
;WK036104;West;28,6;44,4;16,4
;WK036105;Huiswaard;24,9;43,4;12,5
;WK036106;De Mare;25,1;40,8;12,1
;WK036107;Daalmeer/Koedijk;26,2;35,6;18,5
;WK036108;Centrum;34,0;43,4;16,0
;WK036109;Schermer;29,5;28,5;30,4
;WK036110;Graft-De Rijp;29,6;27,3;28,4
;WK036111;Vroonermeer;31,3;22,2;34,9
GM0362;Totaal;Amstelveen;35,1;39,5;26,3
;WK036201;Randwijck;39,2;28,3;36,7
;WK036202;Patrimonium;41,5;38,1;32,3
;WK036203;Elsrijk;42,9;29,7;38,5
;WK036204;Stadshart;40,9;29,4;29,0
;WK036205;Uilenstede, Kronenburg;14,6;94,0;0,7
;WK036206;Bankras, Kostverloren;32,5;40,7;21,7
;WK036207;Buitengebied Noord;64,1;26,4;46,5
;WK036208;Keizer Karelpark;32,3;43,0;21,5
;WK036209;Groenelaan;30,5;50,7;15,1
;WK036210;Waardhuizen, Middenhoven;32,8;34,6;24,2
;WK036211;Bovenkerk - Westwijk Noord;33,6;34,3;28,9
;WK036212;Westwijk Zuid;37,3;17,4;47,0
;WK036213;Buitengebied Zuid;38,5;30,8;35,9
;WK036214;Amsterdamse Bos;36,4;.;.
GM0363;Totaal;Amsterdam;32,4;50,4;17,7
;WK0363AA;Haarlemmerbuurt;38,3;49,4;20,1
;WK0363AB;Jordaan;38,7;54,2;16,1
;WK0363AC;Grachtengordel-West;62,6;38,9;30,7
;WK0363AD;Burgwallen-Nieuwe Zijde;38,0;55,0;14,3
;WK0363AE;Burgwallen-Oude Zijde;32,8;61,6;11,0
;WK0363AF;Nieuwmarkt/Lastage;38,8;52,3;17,5
;WK0363AG;Grachtengordel-Zuid;62,9;41,0;28,4
;WK0363AH;De Weteringschans;51,1;42,5;25,0
;WK0363AJ;Weesperbuurt/Plantage;45,1;47,7;22,2
;WK0363AK;Oostelijke Eilanden/Kadijken;33,2;52,9;16,8
;WK0363BA;Havens-West;.;.;.
;WK0363BB;Coenhaven/Minervahaven;.;.;.
;WK0363EA;Sloterdijk-West;44,6;34,0;28,8
;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;29,5;56,5;12,4
;WK0363EC;Houthavens;53,6;24,1;43,6
;WK0363ED;De Kolenkit;23,2;56,9;10,8
;WK0363EE;Landlust;27,8;52,5;13,6
;WK0363EF;Erasmuspark;32,7;43,5;17,0
;WK0363EG;Centrale Markt;32,1;43,5;21,7
;WK0363EH;Staatsliedenbuurt;33,4;51,6;15,7
;WK0363EJ;Frederik Hendrikbuurt;36,6;51,0;16,7
;WK0363EK;Van Galenbuurt;27,7;58,9;10,8
;WK0363EL;Geuzenbuurt;34,7;47,2;18,1
;WK0363EM;Hoofdweg e.o.;29,7;55,1;12,8
;WK0363EN;Chassébuurt;30,0;50,6;17,5
;WK0363EP;Bellamybuurt;37,3;50,6;16,9
;WK0363EQ;Da Costabuurt;40,1;47,0;20,8
;WK0363ER;Westindische Buurt;36,6;45,0;21,3
;WK0363ES;Van Lennepbuurt;31,8;57,9;12,2
;WK0363ET;Overtoomse Sluis;43,7;43,2;23,5
;WK0363EU;Helmersbuurt;44,3;44,9;24,0
;WK0363EV;Vondelparkbuurt;59,2;42,0;31,3
;WK0363FA;Sloterdijk Nieuw-West;23,4;82,9;1,2
;WK0363FB;Geuzenveld;20,4;51,6;12,6
;WK0363FC;Slotermeer-West;18,8;58,5;9,0
;WK0363FD;Slotermeer-Noordoost;20,0;59,0;8,6
;WK0363FE;Slotermeer-Zuidoost;23,5;61,4;9,6
;WK0363FF;Lutkemeer/Ookmeer;29,9;39,1;27,5
;WK0363FG;De Aker;29,3;34,6;28,9
;WK0363FH;De Punt;21,2;52,6;10,2
;WK0363FJ;Osdorp-Midden;21,9;52,6;13,2
;WK0363FK;Osdorp-Oost;23,3;58,7;10,7
;WK0363FL;Slotervaart-Noord;24,4;52,8;15,0
;WK0363FM;Overtoomse Veld;26,4;50,3;14,8
;WK0363FN;Slotervaart-Zuid;22,9;61,2;10,4
;WK0363FP;Westlandgracht;33,0;57,3;13,8
;WK0363FQ;Sloten/Nieuw-Sloten;32,2;31,8;28,3
;WK0363KA;Hoofddorppleinbuurt;41,3;41,2;23,5
;WK0363KB;Schinkelbuurt;38,6;49,2;17,9
;WK0363KC;Willemspark;72,6;27,8;45,5
;WK0363KD;Museumkwartier;70,1;32,4;37,8
;WK0363KE;Oude Pijp;39,3;52,2;17,9
;WK0363KF;Nieuwe Pijp;37,8;51,9;18,1
;WK0363KG;Zuid Pijp;27,0;61,6;10,8
;WK0363KH;Stadionbuurt;37,4;48,7;20,5
;WK0363KJ;Apollobuurt;66,2;25,5;48,9
;WK0363KK;Scheldebuurt;42,7;41,8;27,2
;WK0363KL;IJselbuurt;34,5;53,5;15,7
;WK0363KM;Rijnbuurt;36,7;53,7;16,1
;WK0363KN;Prinses Irenebuurt e.o.;60,0;22,6;41,4
;WK0363KP;Zuidas;61,7;44,9;29,3
;WK0363KQ;Buitenveldert-West;38,4;45,0;21,6
;WK0363KR;Buitenveldert-Oost;35,6;48,1;17,6
;WK0363MA;Oostelijk Havengebied;39,9;32,8;30,1
;WK0363MB;Weesperzijde;41,8;43,3;24,4
;WK0363MC;Oosterparkbuurt;32,0;55,3;15,8
;WK0363MD;Transvaalbuurt;27,5;55,9;14,0
;WK0363ME;Dapperbuurt;30,7;55,8;15,3
;WK0363MF;Indische Buurt-West;28,1;53,1;14,0
;WK0363MG;Indische Buurt-Oost;25,1;57,3;11,5
;WK0363MH;Zeeburgereiland/Bovendiep;30,9;52,7;16,7
;WK0363MJ;IJburg-West;35,1;29,1;34,8
;WK0363MK;IJburg-Oost;.;.;.
;WK0363ML;IJburg-Zuid;32,0;30,0;35,7
;WK0363MM;Frankendael;32,6;56,5;16,8
;WK0363MN;Middenmeer;38,2;46,1;26,8
;WK0363MP;Betondorp;24,0;64,5;6,9
;WK0363MQ;Omval/Overamstel;45,0;49,0;21,2
;WK0363NA;Oostzanerwerf;24,9;44,7;17,3
;WK0363NB;Noordelijke IJ-oevers-West;37,7;46,8;22,6
;WK0363NC;Tuindorp Oostzaan;24,1;51,3;15,1
;WK0363ND;Kadoelen;30,1;29,3;32,6
;WK0363NE;Banne Buiksloot;21,6;54,2;11,6
;WK0363NF;Nieuwendammerdijk/Buiksloterdijk;40,7;13,6;54,6
;WK0363NG;Elzenhagen;30,0;49,8;26,8
;WK0363NH;Buikslotermeer;22,0;59,2;7,2
;WK0363NJ;Waterlandpleinbuurt;20,8;50,8;11,0
;WK0363NK;Volewijck;21,2;64,5;7,5
;WK0363NL;IJplein/Vogelbuurt;22,2;62,1;8,9
;WK0363NM;Tuindorp Buiksloot;22,5;56,4;11,1
;WK0363NN;Tuindorp Nieuwendam;23,5;58,7;9,5
;WK0363NP;Noordelijke IJ-oevers-Oost;30,6;58,4;5,8
;WK0363NQ;Waterland;35,6;26,1;39,0
;WK0363SA;Driemond;28,8;31,6;26,6
;WK0363SB;Bloemendalerpolder;40,1;4,8;69,4
;WK0363SC;Weesp-Noordwest;27,3;46,3;13,9
;WK0363SD;Weesp Binnenstad/Zuid;33,5;38,9;25,0
;WK0363SE;Aetsveld/Oostelijke Vechtoever;31,5;27,1;29,8
;WK0363TA;Amstel III/Bullewijk;.;87,9;3,2
;WK0363TB;Venserpolder;22,1;66,1;4,7
;WK0363TC;Amsterdamse Poort e.o.;21,5;70,2;7,8
;WK0363TD;H-buurt;17,5;71,7;4,7
;WK0363TE;Ganzenhoef e.o.;23,1;56,4;13,1
;WK0363TF;Geerdinkhof/Kantershof;26,7;51,1;12,9
;WK0363TG;Bijlmermuseum;18,4;71,2;3,5
;WK0363TH;K-buurt;21,6;57,8;10,1
;WK0363TJ;Holendrecht;19,4;59,1;7,5
;WK0363TK;Nellestein;29,6;48,1;9,0
;WK0363TL;Reigersbos;23,6;55,4;9,4
;WK0363TM;Gein;24,4;48,4;12,6
GM0373;Totaal;Bergen (NH.);32,4;32,5;26,1
;WK037301;Wijk 01 Bergen Binnen;35,0;33,8;27,6
;WK037302;Wijk 02 Bergen aan Zee;39,9;34,1;33,0
;WK037303;Wijk 03 Buitengebied Bergen;41,2;26,8;40,9
;WK037304;Wijk 04 Egmond aan Zee;28,2;39,9;17,1
;WK037305;Wijk 05 Egmond-Binnen;28,2;26,4;27,6
;WK037306;Wijk 06 Egmond aan den Hoef;30,0;25,4;28,9
;WK037307;Wijk 07 Schoorl;32,5;30,6;26,6
GM0375;Totaal;Beverwijk;27,0;39,1;17,6
;WK037500;Centrum;26,3;45,8;8,7
;WK037501;Vondelkwartier;33,0;27,3;29,1
;WK037502;Oranjebuurt;24,2;41,3;12,0
;WK037503;Kuenenkwartier;23,9;50,6;8,6
;WK037504;Warande;33,3;16,9;31,8
;WK037505;Noordwestelijk tuinbouwgebied;30,7;15,0;32,3
;WK037506;Oosterwijk en Zwaansmeer;21,7;52,2;9,6
;WK037507;Meerestein;24,7;50,8;10,3
;WK037508;Wijk aan Zee;31,3;36,8;19,4
;WK037509;de Pijp en Wijkerbroek;28,0;.;.
;WK037510;Broekpolder;28,8;13,0;43,1
GM0376;Totaal;Blaricum;41,1;26,2;36,7
;WK037601;Blaricum;41,1;26,2;36,7
GM0377;Totaal;Bloemendaal;44,7;25,3;41,9
;WK037700;Wijk 00 Bloemendaal;46,8;33,4;37,5
;WK037701;Wijk 01 Overveen;45,3;19,4;50,9
;WK037702;Wijk 02 Aerdenhout;56,9;13,6;60,0
;WK037703;Wijk 03 Vogelenzang;33,7;32,4;28,7
;WK037704;Wijk 04 Bennebroek;34,8;25,4;32,2
GM0383;Totaal;Castricum;31,7;27,0;28,6
;WK038300;Wijk 00 Centrum;32,6;28,8;24,7
;WK038301;Wijk 01 Castricum-Noord;30,2;27,0;25,1
;WK038302;Wijk 02 Castricum-Oost;32,6;28,3;26,9
;WK038303;Wijk 03 Castricum-Zuid;34,7;23,2;31,9
;WK038304;Wijk 04 Bakkum;34,8;30,4;35,9
;WK038305;Wijk 05 Akersloot;29,9;25,1;28,4
;WK038306;Wijk 06 De Woude;34,5;.;.
;WK038307;Wijk 07 Limmen;30,6;24,5;32,5
GM0384;Totaal;Diemen;29,2;44,3;20,6
;WK038401;Diemen Noord;33,0;32,6;30,5
;WK038402;Diemen Centrum;26,1;51,0;14,4
;WK038403;Diemen Zuid;27,4;36,9;21,4
;WK038404;Bergwijkpark;.;.;.
;WK038405;Holland Park;29,9;63,2;8,7
;WK038406;Bedrijventerreinen;.;.;.
;WK038407;Plantage de Sniep;37,4;5,8;70,1
;WK038408;Buitengebied;35,9;.;.
GM0385;Totaal;Edam-Volendam;29,2;27,2;30,3
;WK038500;Wijk 00 Edam;29,0;33,0;25,5
;WK038501;Wijk 01 Purmer;26,6;.;.
;WK038502;Wijk 02 Volendam;28,6;25,5;31,7
;WK038503;Wijk 03 Beets;31,0;19,9;30,1
;WK038504;Wijk 04 Oosthuizen;28,1;29,1;27,1
;WK038505;Wijk 05 Warder;32,9;22,7;39,4
;WK038506;Wijk 06 Middelie;41,9;25,2;31,0
;WK038507;Wijk 07 Kwadijk;33,6;21,8;35,0
;WK038508;Wijk 08 Schardam;34,5;.;.
;WK038509;Wijk 09 Hobrede;37,6;.;.
GM0388;Totaal;Enkhuizen;25,9;40,8;16,3
;WK038800;Centrum en Havens;28,4;44,3;15,7
;WK038801;Enkhuizen Noord;24,2;38,3;16,5
;WK038802;Enkhuizen Buitengebied;33,7;.;.
;WK038803;Enkhuizen Zuid;26,9;39,0;13,3
;WK038810;Buitengebied IJsselmeer en Markermeer;.;.;.
GM0392;Totaal;Haarlem;31,1;39,9;22,1
;WK039201;Oude Stad;39,4;42,9;19,9
;WK039202;Haarlemmerhoutkwartier;43,2;31,6;33,6
;WK039203;Zijlwegkwartier;34,1;35,8;25,0
;WK039204;Houtvaartkwartier;32,5;29,9;31,8
;WK039205;Duinwijk;35,8;34,0;31,1
;WK039206;Waarder- en Veerpolder;37,2;30,8;33,3
;WK039207;Amsterdamsewijk;29,1;47,0;16,3
;WK039208;Slachthuiswijk;24,8;54,1;10,3
;WK039209;Parkwijk;26,5;44,9;16,9
;WK039210;Transvaalwijk;30,0;43,7;18,0
;WK039211;Indischewijk;28,7;31,6;23,3
;WK039212;Ter Kleefkwartier;35,7;25,4;38,3
;WK039213;Te Zaanenkwartier;33,7;27,3;31,4
;WK039214;Vogelenwijk;29,7;27,0;30,7
;WK039215;Delftwijk;25,5;51,8;9,6
;WK039216;Vondelkwartier;26,9;39,6;25,3
;WK039217;Spaarndam;29,4;32,7;25,9
;WK039218;Europawijk;23,9;53,6;9,4
;WK039219;Boerhaavewijk;23,4;44,9;16,1
;WK039220;Molenwijk;27,4;42,7;14,9
;WK039221;Meerwijk;20,5;55,6;9,8
GM0394;Totaal;Haarlemmermeer;30,6;29,3;28,7
;WK039401;Hoofddorp;30,3;30,5;27,2
;WK039402;Nieuw-Vennep;30,1;25,8;31,1
;WK039403;Zwanenburg;28,1;33,6;23,8
;WK039404;Lijnden / Boesingheliede;31,1;30,0;29,7
;WK039405;Badhoevedorp;34,5;31,4;31,2
;WK039406;Aalsmeerderbrug/ Oude Meer/ Rozenburg /;29,9;36,4;22,7
;WK039407;Rijsenhout;27,9;36,2;23,9
;WK039408;Burgerveen / Leimuiderbrug / Weteringbru;31,6;26,8;28,7
;WK039409;Abbenes / Buitenkaag;27,8;29,7;24,6
;WK039410;Lisserbroek;29,0;24,0;30,5
;WK039411;Beinsdorp;31,1;17,9;31,0
;WK039412;Zwaanshoek;32,6;21,4;37,0
;WK039413;Cruquius;34,7;24,7;36,1
;WK039415;Vijfhuizen;33,9;24,6;34,8
;WK039416;Schiphol;.;.;.
;WK039420;Spaarndam;31,6;23,7;34,5
;WK039421;Haarlemmerliede;33,5;24,8;35,2
;WK039422;Halfweg;31,4;31,3;28,7
GM0396;Totaal;Heemskerk;28,2;34,2;21,5
;WK039601;Wijk 01 Heemskerk-Dorp;31,6;43,2;11,6
;WK039602;Wijk 02 Commandeurs en Marquette;29,8;25,9;27,6
;WK039603;Wijk 03 Hofland, Oosterwijk en Zuidbroek;24,3;48,9;10,3
;WK039604;Wijk 04 Heemskerkerduin en Noorddorp;31,3;19,1;39,7
;WK039605;Wijk 05 Poelenburg en Oosterzij;22,4;51,4;9,7
;WK039606;Wijk 06 Noordbroek en De Trompet;29,9;27,6;24,8
;WK039607;Wijk 07 Kerkbeek;28,3;37,7;14,8
;WK039608;Wijk 08 Assumburg;28,7;32,9;23,5
;WK039609;Wijk 09 Hoogdorp en Waterakkers;30,7;17,4;32,6
;WK039610;Wijk 10 Broekpolder;30,2;18,0;38,5
;WK039611;Wijk 11 Oostelijk Heemskerk;.;.;.
GM0397;Totaal;Heemstede;40,2;28,6;35,8
;WK039700;Wijk 00 Heemstede-Centrum;40,8;28,7;35,9
;WK039701;Wijk 01 Heemstede-Zuid;32,5;31,3;28,9
;WK039702;Wijk 02 Heemstede west van de spoorbaan;45,2;21,0;49,4
GM0399;Totaal;Heiloo;32,1;30,1;29,0
;WK039901;Wijk 01 Blockhovepark;41,9;14,3;55,7
;WK039902;Wijk 02 Heiloo Noord-West;36,0;18,3;38,1
;WK039903;Wijk 03 Heiloo-Midden;32,8;27,9;30,8
;WK039904;Wijk 04 Heiloo-West;30,5;30,8;23,6
;WK039905;Wijk 05 Stationsomgeving;29,3;33,0;24,4
;WK039906;Wijk 06 Ypestein;32,4;36,8;28,6
;WK039907;Wijk 07 Heiloo-Oost;.;.;.
;WK039908;Wijk 08 Heiloo Zuid-West;32,5;29,8;31,7
GM0400;Totaal;Den Helder;25,6;44,5;12,7
;WK040001;Wijk 01 Stad binnen de Linie-Oost;24,5;52,0;8,3
;WK040002;Wijk 02 Stad binnen de Linie-West;24,9;46,7;10,2
;WK040003;Wijk 03 Nieuw Den Helder-West;25,9;50,5;12,5
;WK040004;Wijk 04 Nieuw Den Helder-Oost;23,3;52,8;11,2
;WK040005;Wijk 05 De Schooten;24,9;50,7;9,6
;WK040006;Wijk 06 Het Koegras;27,8;34,3;21,5
;WK040007;Wijk 07 Duinzoom;33,9;28,1;25,1
;WK040008;Wijk 08 Julianadorp;28,5;23,2;21,7
GM0402;Totaal;Hilversum;31,8;40,1;22,7
;WK040201;Centrum;30,8;49,1;13,6
;WK040202;Noordwest;51,9;26,0;42,7
;WK040203;Zuidwest;28,3;43,4;18,0
;WK040204;Zuid;32,2;35,1;25,8
;WK040205;Zuidoost;37,7;35,8;31,5
;WK040206;Oost;26,8;41,9;20,1
;WK040207;Noordoost;26,3;47,8;16,0
;WK040208;Hilversumse Meent;28,4;32,4;21,6
;WK040209;Landelijk Gebied;41,8;30,7;35,9
GM0405;Totaal;Hoorn;26,8;37,9;18,6
;WK040510;Wijk 10 Binnenstad;33,2;44,4;17,4
;WK040511;Wijk 11 Venenlaan-kwartier;28,4;40,1;20,8
;WK040512;Wijk 12 Hoorn-Noord;26,7;41,8;19,2
;WK040513;Wijk 13 Grote Waal;23,1;43,1;11,6
;WK040520;Wijk 20 Risdam-Zuid;25,8;41,3;15,1
;WK040521;Wijk 21 Risdam-Noord;24,4;41,2;12,0
;WK040522;Wijk 22 Nieuwe Steen;34,3;14,0;30,6
;WK040530;Wijk 30 Zwaag;25,9;34,6;18,1
;WK040531;Wijk 31 Blokker;28,2;32,7;20,5
;WK040532;Wijk 32 Kersenboogerd-Noord;21,6;52,3;9,0
;WK040533;Wijk 33 Kersenboogerd-Zuid;27,4;34,2;23,5
;WK040534;Wijk 34 Hoorn 80;.;.;.
;WK040535;Wijk 35 Bangert en Oosterpolder;28,4;16,6;34,4
;WK040536;Wijk 36 Noord;.;.;.
GM0406;Totaal;Huizen;30,2;35,1;24,2
;WK040600;Wijk 00 Oude Dorp;30,3;36,3;24,6
;WK040601;Wijk 01 Westereng;33,3;27,6;31,7
;WK040602;Wijk 02 Buitenwijken;68,6;8,4;74,4
;WK040603;Wijk 03 Erica en Tafelberg;56,1;10,3;66,2
;WK040604;Wijk 04 Staatslieden en Componistenbuurt;39,9;20,4;47,8
;WK040605;Wijk 05 Havengebied;31,1;30,1;23,2
;WK040606;Wijk 06 Zenderwijk en Bovenweg;26,7;43,9;18,4
;WK040607;Wijk 07 Stad en Lande;22,0;36,0;18,6
;WK040608;Wijk 08 Huizermaat West en Zuid;27,0;38,2;17,3
;WK040609;Wijk 09 Huizermaat Noord;27,9;37,2;17,2
;WK040610;Wijk 10 Bijvanck;27,2;41,4;17,2
;WK040611;Wijk 11 Bovenmaten;26,9;40,6;18,0
;WK040612;Wijk 12 Hogemaat;35,8;20,4;40,9
GM0415;Totaal;Landsmeer;32,2;27,2;31,6
;WK041501;Purmerland;43,9;17,1;37,1
;WK041502;Den Ilp;36,2;23,2;42,5
;WK041503;Landsmeer;31,4;27,9;30,5
GM0417;Totaal;Laren;43,2;29,5;38,0
;WK041703;Laren;43,2;29,5;38,0
GM0420;Totaal;Medemblik;26,6;33,7;22,9
;WK042001;Medemblik;25,0;41,4;17,8
;WK042002;Opperdoes;24,6;35,7;22,4
;WK042003;Twisk;29,4;28,2;26,3
;WK042004;Lambertschaag;30,7;.;.
;WK042005;Abbekerk;27,6;30,6;20,5
;WK042006;Sijbekarspel;26,2;25,8;24,7
;WK042007;Benningbroek;28,5;32,1;29,8
;WK042008;Wognum;28,4;26,3;29,0
;WK042009;Zwaagdijk-West;29,7;21,3;34,8
;WK042010;Nibbixwoud;26,1;29,7;25,0
;WK042011;Midwoud;27,1;36,8;19,8
;WK042012;Oostwoud;29,9;24,9;30,4
;WK042013;Hauwert;28,5;23,0;31,2
;WK042014;Zwaagdijk-Oost;28,7;27,7;30,4
;WK042015;Wervershoof;26,1;35,1;22,4
;WK042016;Andijk;26,1;33,9;21,5
GM0431;Totaal;Oostzaan;29,8;29,2;29,7
;WK043100;Wijk 00;29,8;29,2;29,7
GM0432;Totaal;Opmeer;26,6;32,3;23,4
;WK043201;Opmeer;25,9;31,4;22,0
;WK043202;Spanbroek;26,5;34,2;22,4
;WK043203;Hoogwoud;26,7;32,3;22,9
;WK043204;Aartswoud;26,6;31,7;29,6
;WK043205;De Weere;28,6;24,9;31,5
GM0437;Totaal;Ouder-Amstel;35,2;33,7;31,4
;WK043700;Wijk 00;35,2;33,7;31,4
GM0439;Totaal;Purmerend;27,6;36,3;20,5
;WK043901;Wijk 01 Centrum;28,9;50,2;12,2
;WK043902;Wijk 02 Overwhere;25,9;43,7;11,9
;WK043903;Wijk 03 Wheermolen;22,2;53,3;7,4
;WK043904;Wijk 04 Gors;27,1;33,9;17,7
;WK043905;Wijk 05 Purmer-Noord;24,9;39,5;14,5
;WK043906;Wijk 06 Purmer-Zuid;30,0;26,3;29,1
;WK043907;Wijk 07 Weidevenne;29,5;27,6;30,7
;WK043908;Beemster;31,4;26,5;34,2
GM0441;Totaal;Schagen;27,2;34,1;21,8
;WK044101;Schagerbrug;28,5;26,8;29,6
;WK044102;Schagen-Zuid;28,4;35,0;22,2
;WK044103;Burgerbrug;27,4;30,4;24,9
;WK044104;Sint Maarten;28,5;28,4;23,7
;WK044105;Warmenhuizen;28,0;29,7;28,1
;WK044106;Tuitjenhorn;27,2;34,1;26,8
;WK044107;Waarland;27,3;28,5;29,8
;WK044108;Dirkshorn;26,9;34,4;21,6
;WK044109;Oudesluis;26,5;30,9;22,4
;WK044110;Schagen-Centrum;26,2;49,5;10,9
;WK044111;Petten;26,9;32,8;17,8
;WK044112;Sint Maartensbrug;30,2;22,2;29,3
;WK044113;t Zand;24,4;33,4;22,2
;WK044114;Sint Maartensvlotbrug;26,0;46,6;15,5
;WK044115;Callantsoog;28,2;35,2;19,7
;WK044116;Schagen-West;26,2;30,4;17,2
;WK044117;Schagen-Oost;30,2;28,7;33,1
;WK044118;Schagen-Noord;24,8;41,0;11,9
GM0448;Totaal;Texel;25,5;38,8;17,7
;WK044800;Wijk 00 Het Oude Land en duingebied;25,6;39,1;17,3
;WK044801;Wijk 01 Het Nieuwe Land;24,8;36,4;21,7
GM0450;Totaal;Uitgeest;30,2;26,2;29,4
;WK045000;Wijk 00 Uitgeest;30,2;26,2;29,4
GM0451;Totaal;Uithoorn;30,1;32,1;26,1
;WK045115;Wijk 15 Dorpscentrum;32,1;41,0;18,5
;WK045125;Wijk 25 Thamerdal;25,5;45,0;16,5
;WK045135;Wijk 35 Zijdelwaard;26,0;39,9;17,8
;WK045145;Wijk 45 Legmeer;31,7;25,8;28,7
;WK045150;Wijk 50 Langs de Vuurlinie;37,9;15,7;54,6
;WK045155;Wijk 55 Veilinggebied;.;.;.
;WK045165;Wijk 65 Meerwijk;34,6;24,7;36,5
;WK045175;Wijk 75 Bedrijventerrein;30,7;16,7;30,6
;WK045185;Wijk 85 Meerwijk;30,6;26,5;30,5
;WK045190;Wijk 90 Glastuinbouwgebied;29,6;26,7;36,2
;WK045195;Wijk 95 Veenweidegebied;27,1;.;.
GM0453;Totaal;Velsen;28,6;37,6;22,1
;WK045300;Wijk 00 Velsen-Zuid en Driehuis;38,2;17,0;42,3
;WK045301;Wijk 01 IJmuiden-Noord;25,4;42,8;13,1
;WK045302;Wijk 02 IJmuiden-Zuid;25,8;45,8;15,3
;WK045303;Wijk 03 IJmuiden-West;26,6;48,2;12,6
;WK045304;Wijk 04 Zee- en Duinwijk;24,2;51,0;12,2
;WK045305;Wijk 05 Velsen-Noord;22,5;49,9;11,1
;WK045306;Wijk 06 Santpoort-Noord;32,8;26,6;32,3
